id,name,absolute_magnitude,est_diameter_m,is_hazardous,epoch_osculation,eccentricity,semi_major_axis,inclination,min_orbit_intersection,orbit_uncertainty,jupiter_tisserand_invariant,mean_anomaly,arg_of_perihelion,relative_velocity_kms
2463282,463282 (2012 HR15),16.91,1784.60710154965,False,2461000.5,0.7404736234867743,2.471698173933136,28.24237115459532,0.277487,0,2.921,199.4999566850269,332.8816175364082,31.1778356453
2464885,464885 (2005 LS3),19.47,548.9624220641,False,2461000.5,0.267736196626873,1.489565890084962,34.89798757357806,0.176445,0,4.339,124.49046629146,123.6126651486408,0.0
2465617,465617 (2009 EK1),21.36,229.90192985195,True,2461000.5,0.2290856438602473,1.240855660831967,9.124667256233026,0.0326352,0,5.132,155.2074418031614,21.87826946985062,8.3577227446
2466191,466191 (2012 KL45),18.84,733.7407120833,False,2461000.5,0.3566708481177729,1.687606813835985,25.11922444298257,0.0882014,0,4.047,43.38057584825361,203.0381369738311,14.005561851
2467335,467335 (2002 JA9),19.12,644.9746074367499,False,2461000.5,0.4828789635894875,1.986142746112456,10.4876832049989,0.0874878,0,3.684,103.7680263808279,230.677955016035,14.427595786
2458135,458135 (2010 GE25),20.27,379.78920545460005,False,2461000.5,0.467703977671141,2.066689596389164,21.61187199970663,0.223011,0,3.554,85.9819420218634,235.5616042935239,13.4516322211
2458198,458198 (2010 RT11),19.08,656.9655806486501,False,2461000.5,0.4074180246199492,2.11865801176268,2.264957663476904,0.242069,0,3.621,28.43837608831297,18.04505322115434,0.0
2458452,458452 (2011 BR15),19.77,478.1262818719,False,2461000.5,0.276918891108417,0.8735075720842513,10.22575187320885,0.059263,0,6.732,253.7815333691,72.1767237392501,10.0123570302
2458964,458964 (2011 WM2),20.26,381.54223277694996,False,2461000.5,0.2877054916025471,1.559569623064277,15.87206746659498,0.170411,0,4.345,88.28018837063682,315.3272573530587,10.227016343
2459046,459046 (2012 AS10),17.34,1464.0051917782498,False,2461000.5,0.4870434441167532,1.596709221970514,12.5001797932671,0.141212,1,4.203,182.6783179838895,194.9442765199008,8.1880515942
2459683,459683 (2013 MY5),19.79,473.74279377150003,True,2461000.5,0.4529960027405148,1.662017261340884,2.996707958707732,0.0322337,0,4.137,245.9025685607102,279.031623846785,9.9488882518
2461353,461353 (1999 LS7),21.16,252.0824533339,True,2461000.5,0.300769881638325,1.010002061204063,13.05343604185668,0.0493067,0,5.970,293.7946595987783,123.7861509017361,15.2530511584
2464639,464639 (2000 PO30),19.17,630.29319295855,False,2461000.5,0.3995937449871829,1.836160328356294,3.579165632193885,0.120054,0,3.921,46.87182040383112,218.0676910117053,2.6757522287
2464797,464797 (2004 FZ1),18.3,940.89815484425,False,2461000.5,0.5308487123874157,1.793781119406523,52.63287321627622,0.227482,0,3.505,335.7986671458494,89.50297603182044,29.5029791264
2464798,464798 (2004 JX20),19.37,574.8342239504,False,2461000.5,0.2656796532456293,0.9016022051678823,10.53491913098481,0.0947343,0,6.560,166.4243623967236,349.1282960755804,7.5274077216
2465166,465166 (2007 EL),19.55,529.10591526425,False,2461000.5,0.275822910469171,1.496769202735734,34.32541898536052,0.197022,0,4.328,345.2415078861692,299.3422781864681,17.4740481457
2465749,465749 (2009 WO6),17.32,1477.55146503345,False,2461000.5,0.5832286211262269,3.080289142656064,28.78561368376008,0.343231,0,2.785,325.8516007047316,30.36857679741864,11.7127069296
2465824,465824 (2010 FR),21.69,197.488866363,True,2461000.5,0.3654878608111948,1.131492161440937,14.24375475971075,0.0055354,0,5.440,65.97070020401276,272.7629963696247,8.036805252
2465826,465826 (2010 GA24),21.09,260.34102887295,True,2461000.5,0.5469054711361943,2.096523693337252,7.684380330085862,0.0479014,0,3.535,31.30735999221487,237.5863283664753,19.6357876742
2465853,465853 (2010 RJ42),19.6,517.0619942241,False,2461000.5,0.3231721055823355,1.6291184528542,33.10149802390418,0.27927,1,4.081,182.5772360735056,249.6153678188568,17.670556766
2465892,465892 (2010 UT7),19.72,489.2632736648,True,2461000.5,0.6605674188410178,1.583455988374907,25.43387822203445,0.020561,0,4.034,225.9331120769717,277.3282182406108,29.411409215
2467347,467347 (2003 GR),20.64,320.28943758355,False,2461000.5,0.317709159030415,1.384676420153077,55.82850594090535,0.208968,0,4.307,261.8471225968889,273.020357631916,29.2165776002
2467336,467336 (2002 LT38),20.61,324.74510749715,True,2461000.5,0.3136824646549002,0.8452338567590839,6.176151543515054,0.0338645,0,6.917,268.098874109868,162.7872952271441,12.5998100099
2467372,467372 (2004 LG),18.11,1026.9341986872,False,2461000.5,0.8967247800410934,2.064772064651557,71.17059874011287,0.51818,0,2.700,57.35710347851462,164.7271956828023,94.5711524179
2467460,467460 (2006 JF42),19.05,666.10488225675,True,2461000.5,0.5818942758506792,0.6715340179040502,5.936108821093043,0.00367626,0,8.330,304.2660666203706,17.80782942592248,17.5724203937
2467527,467527 (2007 LA15),19.55,529.10591526425,False,2461000.5,0.3808945182123507,1.726908689075512,8.719078056225758,0.0574634,0,4.066,11.08970271374992,177.0274697846901,6.6131311286
2468446,468446 (2002 XX4),19.95,440.0911313929,False,2461000.5,0.2837363623574969,1.789681980348676,25.61015426836785,0.447777,0,3.922,256.5033397724669,287.0679495635641,12.9896993629
2468481,468481 (2004 TP20),20.05,420.28376765404994,False,2461000.5,0.3509912811226228,1.344008712776356,25.37320643817205,0.116734,0,4.731,144.1427966117176,264.9093843460221,19.7997101485
2468540,468540 (2006 MD12),19.45,554.0419088158001,False,2461000.5,0.6051885308863786,0.838580862199116,27.2735049817091,0.22737,0,6.773,302.324011130849,174.566946303929,34.3544477244
2468541,468541 (2006 QA31),20.05,420.28376765404994,False,2461000.5,0.4577080543673154,1.197773900899958,11.8556826843257,0.204931,0,5.179,177.9279483668275,358.5875822858489,12.1464864345
2468684,468684 (2009 QY33),19.66,502.9706194021,False,2461000.5,0.2828921189308817,1.47322875285198,23.01168650016153,0.224112,0,4.471,313.5960842465497,285.6574649591433,12.7715875062
2468813,468813 (2012 OT5),21.78,189.47094310605002,False,2461000.5,0.2597521182055201,1.602838154380493,5.755120308674572,0.176482,0,4.313,219.3380950245428,147.8565020612203,5.6659115069
2468910,468910 (2014 KQ76),21.67,199.3162083449,True,2461000.5,0.423316329511006,1.007524114005425,4.770879668323605,0.041382,0,5.959,262.249137610743,325.1769976309996,9.8721225041
2467351,467351 (2003 KO2),20.36,364.3700035561,True,2461000.5,0.5108003078636103,0.7277101695415097,23.49140806124217,0.00032026,0,7.740,266.2641840162,204.0438235545854,13.7395496293
2467917,467917 (2011 OP24),19.84,462.9590912331,False,2461000.5,0.5696622819510785,1.245307833646574,15.34475744862719,0.145106,0,4.954,3.697201327917049,320.92195293157,17.35929852
2468004,468004 (2012 XD17),19.32,588.22383309165,False,2461000.5,0.2346101286162456,1.689869202287146,19.06391211918571,0.402326,0,4.126,48.79143865466516,255.4410228707874,8.2320158941
2468005,468005 (2012 XD112),21.19,248.6237524108,True,2461000.5,0.3657696764750998,1.323180968978076,3.722123794394323,0.0147385,0,4.869,133.9077885813748,76.78883856450945,11.6102780378
2468448,468448 (2003 LS3),17.94,1110.5615082093,False,2461000.5,0.5272072900280067,2.649695861193353,9.566241510921355,0.241893,0,3.160,51.32331311573189,175.316831653231,6.8315267247
2468462,468462 (2004 BS102),19.12,644.9746074367499,False,2461000.5,0.3851243764133085,1.706146383670356,25.65025040455293,0.191321,0,4.003,355.8389488731103,244.8149997337017,15.6378823493
2468468,468468 (2004 KH17),22.01,170.4286550941,True,2461000.5,0.4981291786134629,0.7121553942206993,22.13237706435764,0.00469974,0,7.901,112.097893825095,340.7285147535612,15.7210717752
2468727,468727 (2010 JE87),20.77,301.67728913605,True,2461000.5,0.4370269894064822,0.9041723378804107,16.90909093144033,0.0355434,0,6.472,292.8877001929992,242.3091701052493,14.9823727121
2468738,468738 (2010 TN54),19.38,572.19310059935,False,2461000.5,0.4449114028750942,2.108811669249976,4.720971506631848,0.162836,0,3.604,3.819167431776441,35.09730807324529,4.5009403424
2468909,468909 (2014 KZ44),20.52,338.4874856545,False,2461000.5,0.34639501767045,0.9799657969726622,39.46341787038985,0.292247,1,5.938,104.1484583007014,190.4564100793276,29.218025301
2469356,469356 (2001 DR8),18.76,761.2768386289999,False,2461000.5,0.671956186534052,1.925404532271338,6.55739847749816,0.0784334,0,3.598,149.207249298479,43.67035541623762,15.6949188044
2469373,469373 (2001 RQ3),19.21,618.78904568655,False,2461000.5,0.4752145683349681,2.400547228559291,15.65442440966383,0.320278,0,3.318,185.601264946564,127.5066918527948,10.4332190057
2469494,469494 (2002 XS40),20.09,412.612724379,False,2461000.5,0.3381876104297717,1.497645370339997,11.62858198850809,0.154755,0,4.463,125.4651634660665,83.8251906473836,10.29226246
2469727,469727 (2005 NK1),17.24,1533.0016308057502,False,2461000.5,0.7271460862567849,1.604175771785671,33.56497407118401,0.494834,0,3.879,140.7237854689306,10.13377056111623,0.0
2469737,469737 (2005 NW44),20.39,359.37065968675,False,2461000.5,0.4833829654214192,0.7792348501521253,6.07167412035326,0.0533731,0,7.351,37.50324444558784,0.9324232869895966,22.4218358699
2469445,469445 (2002 LT24),22.14,160.52497718249998,False,2461000.5,0.4958087399948634,0.7200990088423241,0.766091548323261,0.0113761,0,7.872,302.2719792595742,283.0948860827236,12.4225725001
2469722,469722 (2005 LP40),19.45,554.0419088158001,False,2461000.5,0.5476704210751796,1.963598670127536,23.6300221177206,0.121658,0,3.592,131.8759983341871,186.7716856807994,21.8649205952
